"""Preliminär Verifikationslista""",,,,,
Samis Jackets AB,,,,,
559489-5301,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:20",,,,,
,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,
,,,,,
"""Verifikation""","""Datum""","""Beskrivning/Konto""","""Typ""","""Debet""","""Kredit"""
A 280,2025-01-13,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,22.00
,,6570 Bankkostnader,,22.00,
,,,,,
A 281,2025-01-12,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,6.00,
,,8311 Ränteintäkter från bank,,,6.00
,,,,,
A 282,2025-01-11,Viva Wallet Card Purchase - BOLAGSVERKET,,,
,,1941 Annat bankkonto viva.com,,,1400.00
,,"6991 Övriga externa kostnader, avdragsgilla",,1400.00,
,,,,,
A 283,2025-01-10,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,30.00
,,6570 Bankkostnader,,30.00,
,,,,,
A 284,2025-01-09,Money out to IBAN - SE2150000000057461042734 - ZSE104000077549,,,
,,1941 Annat bankkonto viva.com,,,12000.00
,,"2893 Skulder till närstående personer, kortfristig del",,12000.00,
,,,,,
A 285,2025-01-07,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 286,2025-01-07,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,35.00
,,6570 Bankkostnader,,35.00,
,,,,,
A 287,2025-01-07,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,17.00
,,6570 Bankkostnader,,17.00,
,,,,,
A 288,2025-01-06,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,43.00
,,6570 Bankkostnader,,43.00,
,,,,,
A 289,2025-01-06,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,46.00
,,6570 Bankkostnader,,46.00,
,,,,,
A 290,2025-01-02,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,14.00
,,6570 Bankkostnader,,14.00,
,,,,,
A 291,2025-01-02,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,12.00
,,6570 Bankkostnader,,12.00,
,,,,,
A 292,2024-12-31,Billing Fee - Account Default Plan (2024-11-30 - 2024-12-30),,,
,,1941 Annat bankkonto viva.com,,,58.00
,,6570 Bankkostnader,,58.00,
,,,,,
A 293,2024-12-31,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,14.00
,,6570 Bankkostnader,,14.00,
,,,,,
A 294,2024-12-30,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,14.00
,,6570 Bankkostnader,,14.00,
,,,,,
A 295,2024-12-30,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,37.00
,,6570 Bankkostnader,,37.00,
,,,,,
A 296,2024-12-28,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,24.00
,,6570 Bankkostnader,,24.00,
,,,,,
A 297,2024-12-28,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,37.00
,,6570 Bankkostnader,,37.00,
,,,,,
A 298,2024-12-27,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,7.00
,,6570 Bankkostnader,,7.00,
,,,,,
A 299,2024-12-26,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,14.00
,,6570 Bankkostnader,,14.00,
,,,,,
A 300,2024-12-23,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,23.00
,,6570 Bankkostnader,,23.00,
,,,,,
A 301,2024-12-23,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,46.00
,,6570 Bankkostnader,,46.00,
,,,,,
A 302,2024-12-23,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 303,2024-12-23,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,8.00
,,6570 Bankkostnader,,8.00,
,,,,,
A 304,2024-12-23,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,8.00
,,6570 Bankkostnader,,8.00,
,,,,,
A 305,2024-12-21,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,28.00
,,6570 Bankkostnader,,28.00,
,,,,,
A 306,2024-12-21,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,
,,1941 Annat bankkonto viva.com,,,14000.00
,,1940 Övriga bankkonton,,14000.00,
,,,,,
A 307,2024-12-20,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,17.00
,,6570 Bankkostnader,,17.00,
,,,,,
A 308,2024-12-20,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,17.00
,,6570 Bankkostnader,,17.00,
,,,,,
A 309,2024-12-20,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,17.00
,,6570 Bankkostnader,,17.00,
,,,,,
A 310,2024-12-16,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,5.00
,,6570 Bankkostnader,,5.00,
,,,,,
A 311,2024-12-14,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,28.00
,,6570 Bankkostnader,,28.00,
,,,,,
A 312,2024-12-13,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 313,2024-12-11,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 314,2024-12-11,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,23.00
,,6570 Bankkostnader,,23.00,
,,,,,
A 315,2024-12-07,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,23.00
,,6570 Bankkostnader,,23.00,
,,,,,
A 316,2024-12-06,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,46.00
,,6570 Bankkostnader,,46.00,
,,,,,
A 317,2024-12-05,Billing Fee - Foreign Currency Fee for Transaction Amount 900.49 USD (2024-12-04),,,
,,1941 Annat bankkonto viva.com,,,298.00
,,6570 Bankkostnader,,298.00,
,,,,,
A 318,2024-12-05,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,45.00,
,,8311 Ränteintäkter från bank,,,45.00
,,,,,
A 319,2024-12-05,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,
,,1941 Annat bankkonto viva.com,,,8500.00
,,1940 Övriga bankkonton,,8500.00,
,,,,,
A 320,2024-12-04,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 321,2024-12-04,Viva Wallet Card Purchase - mytrip_1045449237,,,
,,1941 Annat bankkonto viva.com,,,9945.00
,,5800 Resekostnader (gruppkonto),,9945.00,
,,,,,
A 322,2024-12-04,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 323,2024-12-02,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,3.00
,,6570 Bankkostnader,,3.00,
,,,,,
A 324,2024-11-30,Billing Fee - Account Default Plan (2024-10-31 - 2024-11-29),,,
,,1941 Annat bankkonto viva.com,,,58.00
,,6570 Bankkostnader,,58.00,
,,,,,
A 325,2024-11-29,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,17.00
,,6570 Bankkostnader,,17.00,
,,,,,
A 326,2024-11-29,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,26.00
,,6570 Bankkostnader,,26.00,
,,,,,
A 327,2024-11-27,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,26.00
,,6570 Bankkostnader,,26.00,
,,,,,
A 328,2024-11-27,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,30.00
,,6570 Bankkostnader,,30.00,
,,,,,
A 329,2024-11-26,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,17.00
,,6570 Bankkostnader,,17.00,
,,,,,
A 330,2024-11-26,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 331,2024-11-26,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,19.00
,,6570 Bankkostnader,,19.00,
,,,,,
A 332,2024-11-23,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,29.00
,,6570 Bankkostnader,,29.00,
,,,,,
A 333,2024-11-23,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,3.00
,,6570 Bankkostnader,,3.00,
,,,,,
A 334,2024-11-22,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,34.00
,,6570 Bankkostnader,,34.00,
,,,,,
A 335,2024-11-18,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,30.00
,,6570 Bankkostnader,,30.00,
,,,,,
A 336,2024-11-17,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 337,2024-11-15,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,34.00
,,6570 Bankkostnader,,34.00,
,,,,,
A 338,2024-11-14,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,32.00
,,6570 Bankkostnader,,32.00,
,,,,,
A 339,2024-11-11,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,17.00
,,6570 Bankkostnader,,17.00,
,,,,,
A 340,2024-12-30,Viva Wallet - Money out to IBAN fee,,,
,,1940 Övriga bankkonton,,,6.00
,,6570 Bankkostnader,,6.00,
,,,,,
A 341,2024-12-30,Money out to IBAN - SE7680000890116948003766 - 1088488505 - Hyra med moms,,,
,,1940 Övriga bankkonton,,,20566.00
,,2641 Debiterad ingående moms,,5141.50,
,,5010 Lokalhyra,,15424.50,
,,,,,
A 342,2025-03-29,Money out to IBAN - SE6230000000030860059626,,,
,,1941 Annat bankkonto viva.com,,,68.00
,,"2893 Skulder till närstående personer, kortfristig del",,68.00,
,,,,,
A 343,2024-07-01,Opening balance SEK,,,
,,1945 Wise SEK,,561.47,
,,2091 Balanserad vinst eller förlust,,,561.47
,,,,,
A 344,2025-06-16,"Converted 1,635.80 SEK to 172.13 USD",,,
,,1945 Wise SEK,,,1635.80
,,1942 Wise USD,,1635.80,
,,,,,
A 345,2025-06-16,"Converted 1,925.67 SEK to 175.00 EUR",,,
,,1945 Wise SEK,,,1925.67
,,1944 Wise EUR,,1925.67,
,,,,,
A 346,2025-06-16,Topped up balance,,,
,,1945 Wise SEK,,3000.00,
,,1930 Företagskonto,,,3000.00
,,,,,
A 347,2025-06-15,Card transaction Shopify,,,
,,1945 Wise SEK,,,493.72
,,5420 Programvaror,,493.72,
,,,,,
A 348,2025-06-09,Topped up balance,,,
,,1945 Wise SEK,,1000.00,
,,1930 Företagskonto,,,1000.00
,,,,,
A 349,2025-05-27,Card transaction 2co.com imobie,,,
,,1945 Wise SEK,,,475.85
,,5420 Programvaror,,475.85,
,,,,,
A 350,2025-05-20,Card transaction Shopify,,,
,,1945 Wise SEK,,,968.96
,,5420 Programvaror,,968.96,
,,,,,
A 351,2025-05-19,Topped up balance,,,
,,1945 Wise SEK,,1500.00,
,,1930 Företagskonto,,,1500.00
,,,,,
A 352,2025-05-13,"Converted 10,492.27 SEK to 811.05 GBP",,,
,,1945 Wise SEK,,,10492.27
,,1943 Wise GBP,,10492.27,
,,,,,
A 353,2025-05-13,Topped up balance,,,
,,1945 Wise SEK,,10000.00,
,,1930 Företagskonto,,,10000.00
,,,,,
A 354,2025-04-28,Card transaction Freightseeker,,,
,,1945 Wise SEK,,,90.00
,,"6991 Övriga externa kostnader, avdragsgilla",,90.00,
,,,,,
A 355,2025-04-23,Card transaction Ant Ifoto.ai,,,
,,1945 Wise SEK,,,95.69
,,5420 Programvaror,,95.69,
,,,,,
A 356,2025-04-17,Card transaction Norton,,,
,,1945 Wise SEK,,,191.00
,,5420 Programvaror,,191.00,
,,,,,
A 357,2025-04-16,Card transaction Shopify,,,
,,1945 Wise SEK,,,1425.18
,,5420 Programvaror,,1425.18,
,,,,,
A 358,2025-04-14,Card transaction Dohop,,,
,,1945 Wise SEK,,,810.61
,,5800 Resekostnader (gruppkonto),,810.61,
,,,,,
A 359,2025-04-14,Card refund Dohop,,,
,,1945 Wise SEK,,802.37,
,,5800 Resekostnader (gruppkonto),,,802.37
,,,,,
A 360,2025-04-14,Card transaction Dohop,,,
,,1945 Wise SEK,,,802.37
,,5800 Resekostnader (gruppkonto),,802.37,
,,,,,
A 361,2025-04-14,Card transaction Willys,,,
,,1945 Wise SEK,,,199.90
,,"2893 Skulder till närstående personer, kortfristig del",,199.90,
,,,,,
A 362,2025-04-14,Card refund St1,,,
,,1945 Wise SEK,,1160.88,
,,"5610 Personbils- och mc-kostnader, m.m.",,,1160.88
,,,,,
A 363,2025-04-14,Card transaction St1,,,
,,1945 Wise SEK,,,2000.00
,,"5610 Personbils- och mc-kostnader, m.m.",,2000.00,
,,,,,
A 364,2025-04-13,Card transaction Willys,,,
,,1945 Wise SEK,,,856.23
,,"2893 Skulder till närstående personer, kortfristig del",,856.23,
,,,,,
A 365,2025-04-07,"Converted 2,000.00 SEK to 196.96 USD",,,
,,1945 Wise SEK,,,2000.00
,,1942 Wise USD,,2000.00,
,,,,,
A 366,2025-04-10,Topped up balance,,,
,,1945 Wise SEK,,5000.00,
,,1930 Företagskonto,,,5000.00
,,,,,
A 367,2025-04-07,Converted 484.42 SEK to 47.79 USD,,,
,,1945 Wise SEK,,,484.42
,,1942 Wise USD,,484.42,
,,,,,
A 368,2025-04-07,Topped up balance,,,
,,1945 Wise SEK,,2000.00,
,,1930 Företagskonto,,,2000.00
,,,,,
A 369,2025-04-06,Card transaction Freightseeker,,,
,,1945 Wise SEK,,,90.00
,,"6991 Övriga externa kostnader, avdragsgilla",,90.00,
,,,,,
A 370,2025-04-04,Card transaction Willys,,,
,,1945 Wise SEK,,,838.90
,,"2893 Skulder till närstående personer, kortfristig del",,838.90,
,,,,,
A 371,2025-04-04,Card transaction Willys,,,
,,1945 Wise SEK,,,1064.63
,,"2893 Skulder till närstående personer, kortfristig del",,1064.63,
,,,,,
A 372,2025-04-02,Card transaction Freightseeker,,,
,,1945 Wise SEK,,,108.75
,,"6991 Övriga externa kostnader, avdragsgilla",,108.75,
,,,,,
A 373,2025-04-02,Card transaction OpenAI ChatGPT,,,
,,1945 Wise SEK,,,198.97
,,5420 Programvaror,,198.97,
,,,,,
A 374,2025-04-01,Topped up balance,,,
,,1945 Wise SEK,,2500.00,
,,1930 Företagskonto,,,2500.00
,,,,,
A 375,2025-03-31,Card transaction Freightseeker,,,
,,1945 Wise SEK,,,127.50
,,"6991 Övriga externa kostnader, avdragsgilla",,127.50,
,,,,,
A 376,2025-03-25,Card transaction Apple,,,
,,1945 Wise SEK,,,999.00
,,5420 Programvaror,,999.00,
,,,,,
A 377,2025-03-24,Card transaction Google Play,,,
,,1945 Wise SEK,,,254.47
,,5420 Programvaror,,254.47,
,,,,,
A 378,2025-03-23,Card transaction Ant Ifoto.ai,,,
,,1945 Wise SEK,,,100.87
,,5420 Programvaror,,100.87,
,,,,,
A 379,2025-03-22,Card transaction Aran Food,,,
,,1945 Wise SEK,,,686.75
,,"2893 Skulder till närstående personer, kortfristig del",,686.75,
,,,,,
A 380,2025-03-17,Card transaction In & Finn,,,
,,1945 Wise SEK,,,12.00
,,"2893 Skulder till närstående personer, kortfristig del",,12.00,
,,,,,
A 381,2025-03-17,Card transaction Normal,,,
,,1945 Wise SEK,,,8.00
,,"6991 Övriga externa kostnader, avdragsgilla",,8.00,
,,,,,
A 382,2025-03-17,Card transaction ICA,,,
,,1945 Wise SEK,,,166.00
,,"2893 Skulder till närstående personer, kortfristig del",,166.00,
,,,,,
A 383,2025-03-17,Card transaction Aran Food,,,
,,1945 Wise SEK,,,29.99
,,"2893 Skulder till närstående personer, kortfristig del",,29.99,
,,,,,
A 384,2025-03-17,Card transaction Apple,,,
,,1945 Wise SEK,,,249.00
,,5420 Programvaror,,249.00,
,,,,,
A 385,2025-03-17,Card transaction Shopify,,,
,,1945 Wise SEK,,,1436.59
,,5420 Programvaror,,1436.59,
,,,,,
A 386,2025-03-16,Card transaction OKQ8,,,
,,1945 Wise SEK,,,99.00
,,"5610 Personbils- och mc-kostnader, m.m.",,99.00,
,,,,,
A 387,2025-03-15,Card transaction Ma Livs,,,
,,1945 Wise SEK,,,16.98
,,"2893 Skulder till närstående personer, kortfristig del",,16.98,
,,,,,
A 388,2025-03-15,Card transaction Ma Livs,,,
,,1945 Wise SEK,,,26.96
,,"2893 Skulder till närstående personer, kortfristig del",,26.96,
,,,,,
A 389,2025-03-15,Card transaction Lidl,,,
,,1945 Wise SEK,,,60.70
,,"2893 Skulder till närstående personer, kortfristig del",,60.70,
,,,,,
A 390,2025-03-14,Card transaction Normal,,,
,,1945 Wise SEK,,,20.00
,,"6991 Övriga externa kostnader, avdragsgilla",,20.00,
,,,,,
A 391,2025-03-13,Card transaction Shopify,,,
,,1945 Wise SEK,,,103.62
,,5420 Programvaror,,103.62,
,,,,,
A 392,2025-03-13,Card transaction Normal,,,
,,1945 Wise SEK,,,281.00
,,"6991 Övriga externa kostnader, avdragsgilla",,281.00,
,,,,,
A 393,2025-03-13,Card transaction Shopify,,,
,,1945 Wise SEK,,,515.22
,,5420 Programvaror,,515.22,
,,,,,
A 394,2025-03-13,Card transaction Shopify,,,
,,1945 Wise SEK,,,515.07
,,5420 Programvaror,,515.07,
,,,,,
A 395,2025-03-12,Card transaction Shopify,,,
,,1945 Wise SEK,,,472.61
,,5420 Programvaror,,472.61,
,,,,,
A 396,2025-03-12,Card transaction Babylon Livs,,,
,,1945 Wise SEK,,,32.00
,,"2893 Skulder till närstående personer, kortfristig del",,32.00,
,,,,,
A 397,2025-02-12,"Converted 551.46 EUR to 6,203.22 SEK",,,
,,1945 Wise SEK,,6203.22,
,,1944 Wise EUR,,,6203.22
,,,,,
A 398,2025-02-12,"Converted 1,801.68 GBP to 24,302.42 SEK",,,
,,1945 Wise SEK,,24302.42,
,,1943 Wise GBP,,,24302.42
,,,,,
A 399,2025-03-11,Topped up balance,,,
,,1945 Wise SEK,,6499.00,
,,1930 Företagskonto,,,6499.00
,,,,,
A 400,2025-02-12,Repayment of Director's Loan,,,
,,1945 Wise SEK,,,30505.64
,,"2893 Skulder till närstående personer, kortfristig del",,30505.64,
,,,,,
A 401,2025-02-12,Card transaction Clas Ohlson,,,
,,1945 Wise SEK,,,45.85
,,"6991 Övriga externa kostnader, avdragsgilla",,45.85,
,,,,,
A 402,2025-02-11,Card transaction Kontanten,,,
,,1945 Wise SEK,,,1300.00
,,"2893 Skulder till närstående personer, kortfristig del",,1300.00,
,,,,,
A 403,2025-02-11,"Converted 100.00 GBP to 1,345.85 SEK",,,
,,1945 Wise SEK,,1345.85,
,,1943 Wise GBP,,,1345.85
,,,,,
A 404,2025-02-11,Sent money to Samis Jackets AB,,,
,,1945 Wise SEK,,,47054.41
,,1930 Företagskonto,,47054.41,
,,,,,
A 405,2025-02-11,"Converted 3,500.00 GBP to 47,065.87 SEK",,,
,,1945 Wise SEK,,47065.87,
,,1943 Wise GBP,,,47065.87
,,,,,
A 406,2025-01-27,Sent money to Samis Jackets AB,,,
,,1945 Wise SEK,,,13628.42
,,1930 Företagskonto,,13628.42,
,,,,,
A 407,2025-01-27,"Converted 1,000.00 GBP to 13,639.88 SEK",,,
,,1945 Wise SEK,,13639.88,
,,1943 Wise GBP,,,13639.88
,,,,,
A 408,2025-01-04,Converted 100.00 SEK to 8.69 EUR,,,
,,1945 Wise SEK,,,100.00
,,1944 Wise EUR,,100.00,
,,,,,
A 409,2024-12-10,"Converted 124,000.00 SEK to 11,241.24 USD",,,
,,1945 Wise SEK,,,124000.00
,,1942 Wise USD,,124000.00,
,,,,,
A 410,2024-12-09,Topped up balance,,,
,,1945 Wise SEK,,124000.00,
,,1930 Företagskonto,,,124000.00
,,,,,
A 411,2024-10-25,Bank details order checkout,,,
,,1945 Wise SEK,,,520.00
,,6570 Bankkostnader,,520.00,
,,,,,
A 412,2025-06-16,Sent money to ahmed gheyath al-sharif,,,
,,1942 Wise USD,,,1106.70
,,"2893 Skulder till närstående personer, kortfristig del",,1106.70,
,,,,,
A 413,2025-04-07,Sent money to ahmed gheyath al-sharif,,,
,,1942 Wise USD,,,2180.35
,,"2893 Skulder till närstående personer, kortfristig del",,2180.35,
,,,,,
A 414,2025-04-07,Converted 34.20 EUR to 37.28 USD,,,
,,1944 Wise EUR,,,410.40
,,1942 Wise USD,,410.40,
,,,,,
A 415,2025-04-07,Sent money to ahmed gheyath al-sharif,,,
,,1942 Wise USD,,,941.72
,,"2893 Skulder till närstående personer, kortfristig del",,941.72,
,,,,,
A 416,2025-02-12,Card transaction Clas Ohlson,,,
,,1942 Wise USD,,,61.10
,,"6991 Övriga externa kostnader, avdragsgilla",,61.10,
,,,,,
A 417,2025-01-14,Sent money to FUTURE WORLD TECH,,,
,,1942 Wise USD,,,110859.71
,,2441 Future World Tech,,110859.71,
,,,,,
A 418,2025-01-14,"Converted 8,234.00 GBP to 10,015.78 USD",,,
,,1943 Wise GBP,,,114452.60
,,1942 Wise USD,,114452.60,
,,,,,
A 419,2025-01-07,Balance cashback,,,
,,1942 Wise USD,,45.83,
,,8311 Ränteintäkter från bank,,,45.83
,,,,,
A 420,2024-12-17,Sent money to FUTURE WORLD TECH,,,
,,1942 Wise USD,,,134600.68
,,2441 Future World Tech,,134600.68,
,,,,,
A 421,2024-12-12,Sent money to FUTURE WORLD TECH,,,
,,1942 Wise USD,,,276750.00
,,2441 Future World Tech,,276750.00,
,,,,,
A 422,2024-12-12,"Converted 16,400.00 GBP to 20,888.12 USD",,,
,,1943 Wise GBP,,,227960.00
,,1942 Wise USD,,227960.00,
,,,,,
A 423,2024-12-11,"Converted 12,800.00 GBP to 16,270.93 USD",,,
,,1943 Wise GBP,,,177920.00
,,1942 Wise USD,,177920.00,
,,,,,
A 424,2024-12-10,Sent money to FUTURE WORLD TECH,,,
,,1942 Wise USD,,,124440.54
,,2441 Future World Tech,,124440.54,
,,,,,
A 425,2025-06-16,Sent money to Mohammad Alsharef,,,
,,1944 Wise EUR,,,2100.00
,,"2893 Skulder till närstående personer, kortfristig del",,2100.00,
,,,,,
A 426,2025-04-05,Card transaction Ryanair,,,
,,1944 Wise EUR,,,813.84
,,5800 Resekostnader (gruppkonto),,813.84,
,,,,,
A 427,2025-04-05,Card transaction Pegasus,,,
,,1944 Wise EUR,,,492.36
,,5800 Resekostnader (gruppkonto),,492.36,
,,,,,
A 428,2025-04-04,Received money from STRIPE,,,
,,1944 Wise EUR,,1716.60,
,,3051 Försäljn varor 25% sv,,,1373.28
,,"2611 Utgående moms på försäljning inom Sverige, 25%",,,343.32
,,,,,
A 429,2025-03-12,Card transaction Shopify,,,
,,1944 Wise EUR,,,1.32
,,5420 Programvaror,,1.32,
,,,,,
A 430,2025-03-05,Balance cashback,,,
,,1944 Wise EUR,,1.32,
,,8311 Ränteintäkter från bank,,,1.32
,,,,,
A 431,2025-02-07,Received money from STRIPE,,,
,,1944 Wise EUR,,3915.84,
,,3051 Försäljn varor 25% sv,,,3132.67
,,"2611 Utgående moms på försäljning inom Sverige, 25%",,,783.17
,,,,,
A 432,2025-02-06,Balance cashback,,,
,,1944 Wise EUR,,1.80,
,,8311 Ränteintäkter från bank,,,1.80
,,,,,
A 433,2025-01-24,Received money from STRIPE,,,
,,1944 Wise EUR,,637.68,
,,3051 Försäljn varor 25% sv,,,510.14
,,"2611 Utgående moms på försäljning inom Sverige, 25%",,,127.54
,,,,,
A 434,2025-01-13,Paid to Shopify,,,
,,1944 Wise EUR,,,1043.04
,,5420 Programvaror,,1043.04,
,,,,,
A 435,2025-01-10,Received money from STRIPE,,,
,,1944 Wise EUR,,1951.92,
,,3051 Försäljn varor 25% sv,,,1561.54
,,"2611 Utgående moms på försäljning inom Sverige, 25%",,,390.38
,,,,,
A 436,2025-01-07,Received money from STRIPE,,,
,,1944 Wise EUR,,1049.04,
,,3051 Försäljn varor 25% sv,,,839.23
,,"2611 Utgående moms på försäljning inom Sverige, 25%",,,209.81
,,,,,
A 437,2025-05-13,Sent money to ahmed gheyath al-sharif,,,
,,1943 Wise GBP,,,11273.60
,,"2893 Skulder till närstående personer, kortfristig del",,11273.60,
,,,,,
A 438,2025-03-12,Card transaction Shopify,,,
,,1943 Wise GBP,,,41.42
,,5420 Programvaror,,41.42,
,,,,,
A 439,2025-03-05,Balance cashback,,,
,,1943 Wise GBP,,41.42,
,,8311 Ränteintäkter från bank,,,41.42
,,,,,
A 440,2025-02-12,Card transaction Clas Ohlson,,,
,,1943 Wise GBP,,,96.61
,,"6991 Övriga externa kostnader, avdragsgilla",,96.61,
,,,,,
A 441,2025-02-06,Balance cashback,,,
,,1943 Wise GBP,,85.90,
,,8311 Ränteintäkter från bank,,,85.90
,,,,,
A 442,2025-02-03,Card refund Back Market,,,
,,1943 Wise GBP,,2679.64,
,,"6991 Övriga externa kostnader, avdragsgilla",,,2679.64
,,,,,
A 443,2025-01-27,Card transaction Back Market,,,
,,1943 Wise GBP,,,2679.64
,,"6991 Övriga externa kostnader, avdragsgilla",,2679.64,
,,,,,
A 444,2025-01-21,Received money from ahmed gheyath,,,
,,1943 Wise GBP,,27841.70,
,,"2893 Skulder till närstående personer, kortfristig del",,,27841.70
,,,,,
A 445,2025-01-17,Received money from ahmed gheyath,,,
,,1943 Wise GBP,,57101.20,
,,"2893 Skulder till närstående personer, kortfristig del",,,57101.20
,,,,,
A 446,2025-01-14,Received money from MOHAMMAD SAMI,,,
,,1943 Wise GBP,,139.83,
,,"2893 Skulder till närstående personer, kortfristig del",,,139.83
,,,,,
A 447,2025-01-14,Received money from MOHAMMAD SAMI,,,
,,1943 Wise GBP,,50253.92,
,,"2893 Skulder till närstående personer, kortfristig del",,,50253.92
,,,,,
A 448,2025-01-09,Received money from ahmed gheyath,,,
,,1943 Wise GBP,,68110.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,68110.00
,,,,,
A 449,2024-12-12,Received money from MOHAMMAD SAMI,,,
,,1943 Wise GBP,,133440.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,133440.00
,,,,,
A 450,2024-12-12,Received money from MOHAMMAD SAMI,,,
,,1943 Wise GBP,,94520.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,94520.00
,,,,,
A 451,2024-12-11,Received money from ahmed gheyath,,,
,,1943 Wise GBP,,177920.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,177920.00
,,,,,
A 452,2025-03-28,Crona Kassa Sales Period 1 Oct-Mar 28,,,
,,1948 Sales account,,110544.00,
,,3051 Försäljn varor 25% sv,,,88436.00
,,"2611 Utgående moms på försäljning inom Sverige, 25%",,,22108.00
,,,,,
A 453,2025-05-28,Shopify POS Sales Period Mar 29-May 28,,,
,,1948 Sales account,,173825.17,
,,3051 Försäljn varor 25% sv,,,139060.11
,,"2611 Utgående moms på försäljning inom Sverige, 25%",,,34765.06
,,,,,
A 454,2025-06-30,Easy Cashier Sales Period May 29-Jun 30,,,
,,1948 Sales account,,47077.00,
