"""Preliminär Huvudbok""",,,,,,,,
Samis Jackets AB,,,,,,,,
559489-5301,,,,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:44",,,,,,,,
,,,,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,,,,
,,,,,,,,
,,,,,,,,
"""Konto""","""Verifikation""","""Datum""","""Beskrivning""","""Momskod""","""Moms""","""Debet""","""Kredit""","""Saldo"""
"1220 Inventarier, verktyg och installationer",,,,,,,,
,A 672,2025-08-26,Hi3G telecom service,48,"0,00","243,00",,"12 271,39"
,A 735,2025-09-01,Google G Suite software,48,"0,00","14,18",,"12 285,57"
,A 692,2025-09-02,Rent correction September,48,"0,00","379,20",,"12 664,77"
,A 696,2025-09-03,Fortnox software subscription,48,"0,00","29,80",,"12 694,57"
,A 707,2025-09-05,OpenAI AI software,48,"0,00","24,18",,"12 718,75"
,A 733,2025-09-05,Aviation fee,48,"0,00","7,80",,"12 726,55"
,A 709,2025-09-06,Malardalstrafik business transport,48,"0,00","73,40",,"12 799,95"
,A 710,2025-09-08,Hyra Butik shop rent,48,"0,00","3 996,60",,"16 796,55"
,A 719,2025-09-22,Hi3G telecom service,48,"0,00","322,20",,"17 118,75"
,A 722,2025-09-26,Rent correction September,48,"0,00","403,20",,"17 521,95"
,A 723,2025-09-26,Additional rent September,48,"0,00","4 031,80",,"21 553,75"
,A 729,2025-09-30,St1 Gillbergaplan fuel,48,"0,00","196,15",,"21 749,90"
,A 746,2025-09-30,Momsredovisning juli-september 2025,48,"0,00",,"20 696,30","1 053,60"
,A 786,2025-10-02,Hallon SEK 100.00 SEK,48,"0,00","20,00",,"1 073,60"
,A 787,2025-10-02,Hallon USD 9.40 USD kurs 9.35988,48,"0,00","17,60",,"1 091,20"
,A 1019,2025-10-05,Tubekick - Underhllning/Fretag,48,"0,00","26,21",,"1 117,41"
,A 776,2025-10-06,St1 Gillbergaplan - Company fuel,48,"0,00","181,29",,"1 298,70"
,A 777,2025-10-07,TEMU.COM - Company purchase,48,"0,00","223,46",,"1 522,16"
,A 859,2025-10-08,Bankgiro betalning 2027001,48,"0,00","100,00",,"1 622,16"
,A 778,2025-10-09,AMAZONMKTPLC - Company purchase,48,"0,00","258,77",,"1 880,93"
,A 1017,2025-10-11,Apple.com iCloud - Fretagstjanst,48,"0,00","49,80",,"1 930,73"
,A 992,2025-10-12,MALARDALSTRAFIKEN - Arbetsresa,48,"0,00","73,40",,"2 004,13"
,A 1001,2025-10-13,Shopify Platform - E-handel,48,"0,00","80,92",,"2 085,05"
,A 864,2025-10-14,Frakt PostNord 50207042,48,"0,00","84,80",,"2 169,85"
,A 991,2025-10-14,MALARDALSTRAFIKEN - Arbetsresa,48,"0,00","73,40",,"2 243,25"
,A 780,2025-10-16,TEMU.COM refund,48,"0,00",,"25,32","2 217,93"
,A 781,2025-10-16,TEMU.COM refund,48,"0,00",,"4,93","2 213,00"
,A 1016,2025-10-16,Apple.com iCloud - Fretagstjanst,48,"0,00","3,60",,"2 216,60"
,A 866,2025-10-17,Svea Ekonomi kortterminal,48,"0,00","49,60",,"2 266,20"
,A 984,2025-10-23,Fortnox Bokforingsprogram,48,"0,00","29,80",,"2 296,00"
,A 799,2025-10-24,One.com SEK 11.25 SEK,48,"0,00","2,25",,"2 298,25"
,A 989,2025-10-26,SJ AB Tag - Arbetsresa,48,"0,00","19,20",,"2 317,45"
,A 990,2025-10-26,SJ AB Tag - Arbetsresa,48,"0,00","19,20",,"2 336,65"
,A 874,2025-10-28,Hyra oktober butik/lager 4392007,48,"0,00","3 996,60",,"6 333,25"
,A 875,2025-10-28,Hyra lagar 4392007,48,"0,00","379,20",,"6 712,45"
,A 985,2025-11-01,Fortnox Bokforingsprogram,48,"0,00","29,80",,"6 742,25"
,A 806,2025-11-02,Hallon EUR 11.78 EUR kurs 10.9513,48,"0,00","25,80",,"6 768,05"
,A 1003,2025-11-03,VIMLA Telefonabonnemang - Fretag,48,"0,00","4,26",,"6 772,31"
,A 1004,2025-11-03,VIMLA Telefonabonnemang - Fretag,48,"0,00","20,90",,"6 793,21"
,A 1005,2025-11-03,VIMLA Telefonabonnemang - Fretag,48,"0,00","12,77",,"6 805,98"
,A 1006,2025-11-03,VIMLA Telefonabonnemang - Fretag,48,"0,00","12,77",,"6 818,75"
,A 1011,2025-11-10,St1 Gillbergaplan - Fretagsbrnsle,48,"0,00","189,28",,"7 008,03"
,A 1002,2025-11-12,Shopify Platform - E-handel,48,"0,00","100,12",,"7 108,15"
,A 810,2025-11-14,Shipit.se frakt EUR 91.08 EUR kurs 10.9795,48,"0,00","200,00",,"7 308,15"
,A 986,2025-11-14,Fortnox Bokforingsprogram,48,"0,00","4,80",,"7 312,95"
,A 1020,2025-11-15,TG JBC Orebro - Arbetsresa,48,"0,00","411,00",,"7 723,95"
,A 1013,2025-11-16,Apple.com iCloud - Fretagstjanst,48,"0,00","3,40",,"7 727,35"
,A 893,2025-11-17,Svea Ekonomi kortterminal,48,"0,00","49,60",,"7 776,95"
,A 898,2025-11-20,Svea Ekonomi kortterminal,48,"0,00","49,60",,"7 826,55"
,A 813,2025-11-23,St1 drivmedel EUR 37.82 EUR kurs 10.999,48,"0,00","83,18",,"7 909,73"
,A 782,2025-11-24,APPLE.COM/BILL - iCloud company,48,"0,00","49,80",,"7 959,53"
,A 902,2025-11-24,Frakt PostNord 52494309,48,"0,00","183,74",,"8 143,27"
,A 903,2025-11-24,Frakt PostNord 52494309,48,"0,00","387,17",,"8 530,44"
,A 905,2025-11-25,Frakt DB Schenker 9423047,48,"0,00","431,60",,"8 962,04"
,A 1012,2025-11-25,AIMO Parkering - Fretag,48,"0,00","70,99",,"9 033,03"
,A 816,2025-11-27,Forex EUR 2.91 EUR kurs 10.9894,48,"0,00","6,40",,"9 039,43"
,A 817,2025-11-27,Arlanda Walk Through EUR 32.00 EUR kurs 10.9989,48,"0,00","70,40",,"9 109,83"
,A 818,2025-11-27,Jureskog mat EUR 52.65 EUR kurs 10.9975,48,"0,00","62,04",,"9 171,87"
,A 819,2025-11-27,Take Away Mart EUR 4.46 EUR kurs 10.9952,48,"0,00","5,25",,"9 177,12"
,A 993,2025-11-27,MALARDALSTRAFIKEN - Arbetsresa,48,"0,00","146,80",,"9 323,92"
,A 1018,2025-12-02,Partners on Booking BV - Resekostnader Arlanda,48,"0,00","284,87",,"9 608,79"
,A 1007,2025-12-03,VIMLA Telefonabonnemang - Fretag,48,"0,00","12,00",,"9 620,79"
,A 1008,2025-12-03,VIMLA Telefonabonnemang - Fretag,48,"0,00","12,00",,"9 632,79"
,A 1009,2025-12-03,VIMLA Telefonabonnemang - Fretag,48,"0,00","12,00",,"9 644,79"
,A 1010,2025-12-03,VIMLA Telefonabonnemang - Fretag,48,"0,00","4,00",,"9 648,79"
,A 831,2025-12-11,Malardalstrafik USD 79.49 USD kurs 9.23423,48,"0,00","41,55",,"9 690,34"
,A 1014,2025-12-11,Apple.com iCloud - Fretagstjanst,48,"0,00","49,80",,"9 740,14"
,A 833,2025-12-12,Circle K drivmedel USD 67.13 USD kurs 9.28897,48,"0,00","124,71",,"9 864,85"
,A 834,2025-12-12,Fadushka mat USD 2.16 USD kurs 9.27977,48,"0,00","2,14",,"9 866,99"
,A 987,2025-12-12,Fortnox Bokforingsprogram,48,"0,00","29,80",,"9 896,79"
,A 927,2025-12-15,Frakt 50516822,48,"0,00","583,00",,"10 479,79"
,A 928,2025-12-15,Frakt DB Schenker 9423047,48,"0,00","25,40",,"10 505,19"
,A 929,2025-12-15,Frakt DB Schenker 9423047,48,"0,00","47,40",,"10 552,59"
,A 930,2025-12-15,Frakt DB Schenker 9423047,48,"0,00","197,60",,"10 750,19"
,A 931,2025-12-15,Frakt DB Schenker 9423047,48,"0,00","622,60",,"11 372,79"
,A 932,2025-12-15,Frakt DB Schenker 9423047,48,"0,00","29,00",,"11 401,79"
,A 933,2025-12-15,Frakt PostNord 52494309,48,"0,00","77,80",,"11 479,59"
,A 934,2025-12-15,Fretag mobil Telia 47460035,48,"0,00","113,80",,"11 593,39"
,A 935,2025-12-15,Plusgiro betalning 47704044,48,"0,00","49,60",,"11 642,99"
,A 1015,2025-12-16,Apple.com iCloud - Fretagstjanst,48,"0,00","3,60",,"11 646,59"
,A 937,2025-12-17,Frakt DB Schenker 9423047,48,"0,00","23,80",,"11 670,39"
,A 938,2025-12-17,Frakt DB Schenker 9423047,48,"0,00","15,36",,"11 685,75"
,A 840,2025-12-19,One.com USD 13.75 USD kurs 9.31722,48,"0,00","25,63",,"11 711,38"
,A 941,2025-12-22,Svea Ekonomi kortterminal,48,"0,00","49,60",,"11 760,98"
,A 849,2025-12-29,St1 drivmedel USD 96.07 USD kurs 9.17915,48,"0,00","176,36",,"11 937,34"
,A 943,2025-12-29,Frakt DB Schenker 9423047,48,"0,00","49,88",,"11 987,22"
,A 944,2025-12-29,Frakt DB Schenker 9423047,48,"0,00","21,00",,"12 008,22"
,A 1029,2025-12-31,"Momsavstñmning Q4 2025 - IngÑende moms till momsredovisning (korrigerad med verifikation A1034 av Mohammad Sami Alsharef, 2026-01-07)",48,"0,00",,"10 954,62","1 053,60"
,A 1034,2025-12-31,"Korrigering av ver.nr. A1029, Momsavstñmning Q4 2025 - IngÑende moms till momsredovisning (av Mohammad Sami Alsharef, 2026-01-07)",48,"0,00","10 954,62",,"12 008,22"
,A 1035,2025-12-31,Momsredovisning oktober-december 2025,48,"0,00",,"10 954,62","1 053,60"
,,,"""Utgående saldo:""",,"0,00","90 918,27","89 864,67","1 053,60"
,,,,,,,,
2645 Beräknad ingående moms på förvärv från utlandet,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 91,2024-09-26,"Invoice (USD 40008) FIK20240000000042 vx enl. kurs 10,2296",48,"0,00",,"102 316,25","-102 316,25"
,A 589,2024-09-30,Momsredovisning juli-september 2024,48,"0,00","102 316,25",,"0,00"
,A 92,2024-10-16,"Invoice #906 (USD 30700 enl. vxelkurs 10,4144)",48,"0,00",,"79 930,50","-79 930,50"
,A 590,2024-12-31,Momsredovisning oktober-december 2024,48,"0,00","79 930,50",,"0,00"
,A 588,2025-02-28,First China container - verfring frn Futureworld till inkp,48,"0,00",,"92 123,00","-92 123,00"
,A 591,2025-03-31,Momsredovisning januari-mars 2025,48,"0,00","92 123,00",,"0,00"
,,,"""Utgående saldo:""",,"0,00","274 369,75","274 369,75","0,00"
,,,,,,,,
2650 Redovisningskonto för moms,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 589,2024-09-30,Momsredovisning juli-september 2024,,"0,00","1 485,00",,"1 485,00"
,A 590,2024-12-31,Momsredovisning oktober-december 2024,,"0,00","16 027,00",,"17 512,00"
,A 591,2025-03-31,Momsredovisning januari-mars 2025,,"0,00",,"11 551,00","5 961,00"
,A 592,2025-06-30,Momsredovisning april-juni 2025,,"0,00",,"26 668,00","-20 707,00"
,A 629,2025-07-07,VAT payment to Skatteverket - Q2 balance,,"0,00","20 707,00",,"0,00"
,A 757,2025-07-08,Inbetalning till skattekonto moms,,"0,00",,"20 707,00","-20 707,00"
,A 758,2025-07-09,Beslut moms september 2024 kredit,,"0,00",,"1 485,00","-22 192,00"
,A 759,2025-07-09,Beslut moms oktober-december 2024 kredit,,"0,00",,"16 027,00","-38 219,00"
,A 765,2025-08-12,Beslut moms januari-mars 2025 debitering,,"0,00","11 551,00",,"-26 668,00"
,A 744,2025-08-18,"Betalning moms fr period: April-Juni 2025 (korrigerad med verifikation A761 av Mohammad Sami Alsharef, 2025-10-27)",,"0,00","26 668,00",,"0,00"
,A 746,2025-09-30,Momsredovisning juli-september 2025,,"0,00",,"15 714,00","-15 714,00"
,A 1024,2025-11-12,Moms juli-sept 2025 debiterad Skattekonto,,"0,00","15 714,00",,"0,00"
,A 1028,2025-12-31,"Momsavstñmning Q4 2025 - UtgÑende moms till momsredovisning (korrigerad med verifikation A1033 av Mohammad Sami Alsharef, 2026-01-07)",,"0,00",,"92 597,43","-92 597,43"
,A 1029,2025-12-31,"Momsavstñmning Q4 2025 - IngÑende moms till momsredovisning (korrigerad med verifikation A1034 av Mohammad Sami Alsharef, 2026-01-07)",,"0,00","10 954,62",,"-81 642,81"
,A 1033,2025-12-31,"Korrigering av ver.nr. A1028, Momsavstñmning Q4 2025 - UtgÑende moms till momsredovisning (av Mohammad Sami Alsharef, 2026-01-07)",,"0,00","92 597,43",,"10 954,62"
,A 1034,2025-12-31,"Korrigering av ver.nr. A1029, Momsavstñmning Q4 2025 - IngÑende moms till momsredovisning (av Mohammad Sami Alsharef, 2026-01-07)",,"0,00",,"10 954,62","0,00"
,A 1035,2025-12-31,Momsredovisning oktober-december 2025,,"0,00",,"81 643,00","-81 643,00"
,,,"""Utgående saldo:""",,"0,00","195 704,05","277 347,05","-81 643,00"
,,,,,,,,
"2893 Skulder till närstående personer, kortfristig del",,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 3,2024-07-10,LAGERBOLAGET F.102576,,,,"9 075,00","-9 075,00"
,A 1,2024-07-16,utgift/kostnad (vatan caddesi i istanbul TR),,,,"983,41","-10 058,41"
,A 2,2024-07-20,utgift/kostnad ( AKBANK/PENDIK ISANBUL TR),,,,"664,26","-10 722,67"
,A 4,2024-08-01,"Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,,"1 306,49","-12 029,16"
,A 160,2024-08-25,(EDREAMS 348577891 MADRID),,,,"1 251,06","-13 280,22"
,A 6,2024-08-26,"(PEGASUS ISTANBUL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,,"1 039,99","-14 320,21"
,A 8,2024-08-26,"(THE GREEN OTEL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,,"2 484,60","-16 804,81"
,A 146,2024-08-26,sipay/taksi yonetim,,,,"440,65","-17 245,46"
,A 5,2024-08-27,utgift/kostnad (AKBANK/IMC ISTANBUL),,,,"987,25","-18 232,71"
,A 7,2024-08-27,utgift/kostnad (ZAYAROGLU GIDA SAANAYI VE ),,,,"250,96","-18 483,67"
,A 145,2024-08-27,uber *trip,,,,"40,06","-18 523,73"
,A 10,2024-09-06,(AJET.COM ISTANBUL),,,,"291,57","-18 815,30"
,A 11,2024-09-06,(ST1 ESKILSTUNA),,,,"667,63","-19 482,93"
,A 161,2024-09-06,( mlartg),,,,"348,00","-19 830,93"
,A 12,2024-09-10,utgift/kostnad ( DARA ENERGI A.S) DRIVMEDEL,,,,"652,06","-20 482,99"
,A 13,2024-09-11,(ISTANBUL SABINA GOKCEN) TAKE AWAY,,,,"192,97","-20 675,96"
,A 159,2024-09-11,Preem Rosersberg,,,"618,30",,"-20 057,66"
,A 144,2024-09-12,Pegasus hava tasimacilik,,,,"118,97","-20 176,63"
,A 144,2024-09-12,Pegasus hava tasimacilik,,,,"35,69","-20 212,32"
,A 9,2024-09-14,(RECOMPUTE IT NORDIC ),,,,"400,00","-20 612,32"
,A 143,2024-09-14,Shopify * 273667915,,,,"169,75","-20 782,07"
,A 171,2024-09-17,Loan from Director to Company - Cash Flow Support,,,,"35 000,00","-55 782,07"
,A 142,2024-09-18,Shopify * 274917290,,,,"11,53","-55 793,60"
,A 20,2024-10-01,"CARGO CENTER KONTANTF, 202406312 FLYterminalavgift",,,,"3 280,88","-59 074,48"
,A 40,2024-10-01,utgift/kostnad (okq8 drivmedel ),,,,"550,29","-59 624,77"
,A 141,2024-10-01,Google GSUITE-samisjack (google workspace),,,,"10,64","-59 635,41"
,A 39,2024-10-02,utgift/kostnad (okq8 drivmedel ),,,,"745,39","-60 380,80"
,A 140,2024-10-03,Aimo Park Sweden,,,,"84,95","-60 465,75"
,A 140,2024-10-03,Aimo Park Sweden,,,,"69,95","-60 535,70"
,A 158,2024-10-03,Ryanair Ltd. Dublin,,,,"192,08","-60 727,78"
,A 162,2024-10-03,OPODO internet transaktion,,,,"5 967,68","-66 695,46"
,A 138,2024-10-07,Aimo Park Sweden,,,,"29,95","-66 725,41"
,A 138,2024-10-07,Aimo Park Sweden,,,,"29,95","-66 755,36"
,A 138,2024-10-07,Aimo Park Sweden,,,,"29,95","-66 785,31"
,A 139,2024-10-07,sj app,,,,"214,00","-66 999,31"
,A 24,2024-10-08,Rusta,,,,"1 183,30","-68 182,61"
,A 26,2024-10-08,Biltema,,,,"365,00","-68 547,61"
,A 62,2024-10-08,utgift/kostnad (okq8),,,,"687,59","-69 235,20"
,A 115,2024-10-08,JULA,,,,"365,00","-69 600,20"
,A 23,2024-10-09,Dollarstore,,,,"388,00","-69 988,20"
,A 25,2024-10-09,Biltema,,,,"1 934,40","-71 922,60"
,A 137,2024-10-09,Aimo Park Sweden,,,,"29,95","-71 952,55"
,A 15,2024-10-10,TEMU PO-191-055293649567125515,,,,"2 030,55","-73 983,10"
,A 28,2024-10-10,biltema,,,,"1 201,00","-75 184,10"
,A 35,2024-10-10,Clas Ohlson,,,,"80,00","-75 264,10"
,A 117,2024-10-10,patent och regverket,,,,"2 400,00","-77 664,10"
,A 34,2024-10-11,biltema,,,,"802,00","-78 466,10"
,A 44,2024-10-11,max burgers,,,,"422,00","-78 888,10"
,A 45,2024-10-11,max burgers,,,,"91,00","-78 979,10"
,A 27,2024-10-12,Biltema,,,,"499,00","-79 478,10"
,A 32,2024-10-12,LIDL,,,,"504,54","-79 982,64"
,A 136,2024-10-12,Aimo Park Sweden,,,,"128,95","-80 111,59"
,A 136,2024-10-12,Aimo Park Sweden,,,,"29,95","-80 141,54"
,A 30,2024-10-15,Clas Ohlson,,,,"240,00","-80 381,54"
,A 37,2024-10-16,Aimo Park Sweden,,,,"314,95","-80 696,49"
,A 169,2024-10-16,Loan from Director to Company - Cash Flow Support,,,,"120 000,00","-200 696,49"
,A 16,2024-10-18,TEMU PO-191-06903722854952515,,,,"1 215,68","-201 912,17"
,A 46,2024-10-18,shopify avgift f. 285551379,,,,"1 222,65","-203 134,82"
,A 154,2024-10-22,n26 top-up,,,,"233,10","-203 367,92"
,A 152,2024-10-24,apple.com bill,,,,"250,00","-203 617,92"
,A 33,2024-10-25,Clas Ohlson,,,,"1 499,00","-205 116,92"
,A 41,2024-10-26,max burgers,,,,"490,00","-205 606,92"
,A 42,2024-10-26,max burgers,,,,"25,00","-205 631,92"
,A 135,2024-10-27,Aimo Park Sweden,,,,"29,95","-205 661,87"
,A 19,2024-10-28,CARGO CENTER KONTANTF. 202407034 FLYterminalavgift,,,,"3 837,38","-209 499,25"
,A 22,2024-10-28,Clas Ohlson,,,,"249,00","-209 748,25"
,A 29,2024-10-28,Biltema,,,,"399,00","-210 147,25"
,A 31,2024-10-28,Clas Ohlson,,,,"40,00","-210 187,25"
,A 38,2024-10-28,utgift/kostnad (shell drivmedel ),,,,"672,45","-210 859,70"
,A 14,2024-10-29,TEMU PO-191-15837295250472515,,,,"476,40","-211 336,10"
,A 43,2024-10-29,max burgers,,,,"590,00","-211 926,10"
,A 47,2024-10-29,Aimo Park Sweden,,,,"29,99","-211 956,09"
,A 134,2024-10-29,Aimo Park Sweden,,,,"29,95","-211 986,04"
,A 18,2024-10-30,"LF SRMLAND FRSKRINGSPREMIE F: 69006*00 (korrigerad med verifikation A241 av Mohammad Sami Alsharef, 2025-06-27)",,,,"3 960,00","-215 946,04"
,A 36,2024-10-30,WILLYS,,,,"1 053,40","-216 999,44"
,A 153,2024-10-30,Aimo Park Sweden,,,,"500,00","-217 499,44"
,A 153,2024-10-30,Aimo Park Sweden,,,,"500,00","-217 999,44"
,A 172,2024-10-30,"Korrigering av ver.nr. A21, LF SRMLAND FRSKRINGSPREMIE F: 69006*00 (av Mohammad Sami Alsharef, 2025-06-27)",,,"3 960,00",,"-214 039,44"
,A 17,2024-10-31,AIMO PARK - HYRESAVI F.41986401814,,,,"1 862,90","-215 902,34"
,A 63,2024-11-01,google GSUITE SAMISJAC,,,,"163,15","-216 065,49"
,A 53,2024-11-02,Biltema,,,,"770,50","-216 835,99"
,A 51,2024-11-04,WILLYS,,,,"1 726,09","-218 562,08"
,A 69,2024-11-04,utgift/kostnad (willys ),,,,"1 726,09","-220 288,17"
,A 52,2024-11-06,Clas Ohlson,,,,"20,00","-220 308,17"
,A 49,2024-11-07,Biltema,,,,"164,70","-220 472,87"
,A 50,2024-11-07,RUSTA,,,,"49,90","-220 522,77"
,A 54,2024-11-07,Clas Ohlson,,,,"180,00","-220 702,77"
,A 57,2024-11-07,Clas Ohlson,,,,"649,00","-221 351,77"
,A 59,2024-11-07,Clas Ohlson,,,,"219,00","-221 570,77"
,A 64,2024-11-07,utgift/kostnad (ST1),,,,"676,93","-222 247,70"
,A 65,2024-11-09,max burgers,,,,"890,00","-223 137,70"
,A 56,2024-11-11,Clas Ohlson,,,,"399,00","-223 536,70"
,A 58,2024-11-12,Clas Ohlson,,,"549,00",,"-222 987,70"
,A 71,2024-11-13,(google ads 5215017274),,,,"100,00","-223 087,70"
,A 55,2024-11-14,WILLYS,,,,"3 210,24","-226 297,94"
,A 156,2024-11-14,AI-marknadsfring OPENAI,,,,"112,11","-226 410,05"
,A 61,2024-11-15,Aimo Park Sweden,,,,"314,95","-226 725,00"
,A 75,2024-11-16,Aimo Park Sweden,,,,"314,95","-227 039,95"
,A 133,2024-11-16,apple.com bill,,,,"18,00","-227 057,95"
,A 93,2024-11-17,shopify avgift f. 296203582,,,,"1 779,28","-228 837,23"
,A 132,2024-11-17,(google ads5215017274),,,,"500,00","-229 337,23"
,A 101,2024-11-18,Tiktok Ads*tiktok Ads Dublin,,,,"90,00","-229 427,23"
,A 102,2024-11-18,Tiktok Ads* tiktok Ads Dublin,,,,"90,00","-229 517,23"
,A 103,2024-11-18,Tiktok Ads*tiktok Ads Dublin,,,,"40,00","-229 557,23"
,A 149,2024-11-18,apple.com bill,,,,"39,00","-229 596,23"
,A 104,2024-11-19,Tiktok Ads*tiktok Ads Dublin,,,,"180,00","-229 776,23"
,A 131,2024-11-19,SNAP *snap ads,,,,"63,39","-229 839,62"
,A 131,2024-11-19,SNAP *snap ads,,,,"57,08","-229 896,70"
,A 131,2024-11-19,SNAP *snap ads,,,,"43,48","-229 940,18"
,A 131,2024-11-19,SNAP *snap ads,,,,"29,51","-229 969,69"
,A 131,2024-11-19,SNAP *snap ads,,,,"27,97","-229 997,66"
,A 131,2024-11-19,SNAP *snap ads,,,,"23,30","-230 020,96"
,A 131,2024-11-19,SNAP *snap ads,,,,"17,79","-230 038,75"
,A 105,2024-11-20,Tiktok Ads*tiktok Ads Dublin,,,,"450,00","-230 488,75"
,A 128,2024-11-20,Google GSUITE-samisjack (google workspace),,,,"1 000,00","-231 488,75"
,A 130,2024-11-20,SNAP *snap ads,,,,"63,65","-231 552,40"
,A 130,2024-11-20,SNAP *snap ads,,,,"55,46","-231 607,86"
,A 130,2024-11-20,SNAP *snap ads,,,,"29,84","-231 637,70"
,A 130,2024-11-20,SNAP *snap ads,,,,"25,91","-231 663,61"
,A 130,2024-11-20,SNAP *snap ads,,,,"25,21","-231 688,82"
,A 130,2024-11-20,SNAP *snap ads,,,,"23,09","-231 711,91"
,A 72,2024-11-21,utgift/kostnad (google ads 5215017274),,,,"2 000,00","-233 711,91"
,A 129,2024-11-21,SNAP *snap ads,,,,"112,24","-233 824,15"
,A 129,2024-11-21,SNAP *snap ads,,,,"18,98","-233 843,13"
,A 129,2024-11-21,SNAP *snap ads,,,,"16,01","-233 859,14"
,A 129,2024-11-21,SNAP *snap ads,,,,"10,57","-233 869,71"
,A 73,2024-11-23,utgift/kostnad (google ads 5215017274),,,,"3 500,00","-237 369,71"
,A 100,2024-11-23,tiktok ads,,,,"450,00","-237 819,71"
,A 106,2024-11-25,Tiktok Ads*tiktok Ads London,,,,"450,00","-238 269,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"22,00","-238 291,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"22,00","-238 313,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"22,00","-238 335,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"25,00","-238 360,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"22,00","-238 382,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"22,00","-238 404,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"22,00","-238 426,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"25,00","-238 451,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"25,00","-238 476,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"28,00","-238 504,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"40,00","-238 544,71"
,A 107,2024-11-26,Facebook Ads /Dublin,,,,"40,00","-238 584,71"
,A 108,2024-11-27,Facebook Ads /Dublin,,,,"61,00","-238 645,71"
,A 108,2024-11-27,Facebook Ads /Dublin,,,,"92,00","-238 737,71"
,A 108,2024-11-27,Facebook Ads /Dublin,,,,"61,00","-238 798,71"
,A 108,2024-11-27,Facebook Ads /Dublin,,,,"61,00","-238 859,71"
,A 108,2024-11-27,Facebook Ads /Dublin,,,,"92,00","-238 951,71"
,A 108,2024-11-27,Facebook Ads /Dublin,,,,"125,00","-239 076,71"
,A 67,2024-11-28,utgift/kostnad (eparkera ),,,,"64,85","-239 141,56"
,A 68,2024-11-28,(CVS CENTER ),,,,"1 085,00","-240 226,56"
,A 109,2024-11-28,Facebook Ads /Dublin,,,,"188,00","-240 414,56"
,A 109,2024-11-28,Facebook Ads /Dublin,,,,"283,00","-240 697,56"
,A 109,2024-11-28,Facebook Ads /Dublin,,,,"312,00","-241 009,56"
,A 150,2024-11-28,(605272 CVS),,,,"1 085,00","-242 094,56"
,A 66,2024-11-29,WILLYS,,,,"1 773,13","-243 867,69"
,A 74,2024-11-29,utgift/kostnad ( circle K),,,,"691,81","-244 559,50"
,A 110,2024-11-29,Facebook Ads /Dublin,,,,"344,00","-244 903,50"
,A 157,2024-11-29,AI-marknadsfring PictoryAI,,,,"1 274,94","-246 178,44"
,A 157,2024-11-29,AI-marknadsfring PictoryAI,,,,"1 342,05","-247 520,49"
,A 166,2024-11-29,Betalning till Skatteverket - NOT IN 2025 CSV,,,"625,00",,"-246 895,49"
,A 60,2024-11-30,"Assemblin EL AB (korrigerad med verifikation A243 av Mohammad Sami Alsharef, 2025-06-27) (korrigerad med verifikation A2",,,,"4 507,00","-251 402,49"
,A 111,2024-11-30,Facebook Ads /Dublin,,,,"379,00","-251 781,49"
,A 116,2024-11-30,utgift/kostnad (google ads),,,,"7 100,00","-258 881,49"
,A 151,2024-11-30,apple.com bill,,,,"249,00","-259 130,49"
,A 81,2024-12-01,(google ads 5215017274),,,,"2 708,96","-261 839,45"
,A 112,2024-12-01,Tiktok Ads*tiktok Ads London,,,,"66,41","-261 905,86"
,A 113,2024-12-01,Facebook Ads /Dublin,,,,"417,00","-262 322,86"
,A 124,2024-12-01,hallon tele,,,,"19,00","-262 341,86"
,A 124,2024-12-01,hallon tele,,,,"19,00","-262 360,86"
,A 124,2024-12-01,hallon tele,,,,"19,00","-262 379,86"
,A 124,2024-12-01,hallon tele,,,,"19,00","-262 398,86"
,A 124,2024-12-01,hallon tele,,,,"19,00","-262 417,86"
,A 114,2024-12-02,Facebook Ads /Dublin,,,,"459,00","-262 876,86"
,A 78,2024-12-03,(okq8),,,,"419,52","-263 296,38"
,A 84,2024-12-03,utgift/kostnad (shell e4 norr),,,,"159,00","-263 455,38"
,A 88,2024-12-03,utgift/kostnad (HMS Host Arlanda),,,,"171,00","-263 626,38"
,A 118,2024-12-03,meta facebook ads,,,,"505,00","-264 131,38"
